# NAME,VALUE
K1:VIS-ETMX_KALMAN_D_1_1,0.0
K1:VIS-ETMX_KALMAN_D_1_2,0.0
K1:VIS-ETMX_KALMAN_D_2_1,0.0
K1:VIS-ETMX_KALMAN_D_2_2,0.0
K1:VIS-ETMX_KALMAN_D_3_1,0.0
K1:VIS-ETMX_KALMAN_D_3_2,0.0
K1:VIS-ETMX_KALMAN_D_4_1,0.0
K1:VIS-ETMX_KALMAN_D_4_2,0.0
K1:VIS-ETMX_KALMAN_D_5_1,0.0
K1:VIS-ETMX_KALMAN_D_5_2,0.0
K1:VIS-ETMX_KALMAN_D_6_1,0.0
K1:VIS-ETMX_KALMAN_D_6_2,0.0
K1:VIS-ETMX_KALMAN_C_1_1,0.0
K1:VIS-ETMX_KALMAN_C_1_2,0.0
K1:VIS-ETMX_KALMAN_C_1_3,0.0
K1:VIS-ETMX_KALMAN_C_1_4,0.0
K1:VIS-ETMX_KALMAN_C_1_5,0.0
K1:VIS-ETMX_KALMAN_C_1_6,0.0
K1:VIS-ETMX_KALMAN_C_2_1,0.0
K1:VIS-ETMX_KALMAN_C_2_2,0.0
K1:VIS-ETMX_KALMAN_C_2_3,0.0
K1:VIS-ETMX_KALMAN_C_2_4,0.0
K1:VIS-ETMX_KALMAN_C_2_5,0.0
K1:VIS-ETMX_KALMAN_C_2_6,0.0
K1:VIS-ETMX_KALMAN_C_3_1,0.0
K1:VIS-ETMX_KALMAN_C_3_2,0.0
K1:VIS-ETMX_KALMAN_C_3_3,0.0
K1:VIS-ETMX_KALMAN_C_3_4,0.0
K1:VIS-ETMX_KALMAN_C_3_5,0.0
K1:VIS-ETMX_KALMAN_C_3_6,0.0
K1:VIS-ETMX_KALMAN_C_4_1,0.0
K1:VIS-ETMX_KALMAN_C_4_2,0.0
K1:VIS-ETMX_KALMAN_C_4_3,0.0
K1:VIS-ETMX_KALMAN_C_4_4,0.0
K1:VIS-ETMX_KALMAN_C_4_5,0.0
K1:VIS-ETMX_KALMAN_C_4_6,0.0
K1:VIS-ETMX_KALMAN_C_5_1,0.0
K1:VIS-ETMX_KALMAN_C_5_2,0.0
K1:VIS-ETMX_KALMAN_C_5_3,0.0
K1:VIS-ETMX_KALMAN_C_5_4,0.0
K1:VIS-ETMX_KALMAN_C_5_5,0.0
K1:VIS-ETMX_KALMAN_C_5_6,0.0
K1:VIS-ETMX_KALMAN_C_6_1,0.0
K1:VIS-ETMX_KALMAN_C_6_2,0.0
K1:VIS-ETMX_KALMAN_C_6_3,0.0
K1:VIS-ETMX_KALMAN_C_6_4,0.0
K1:VIS-ETMX_KALMAN_C_6_5,0.0
K1:VIS-ETMX_KALMAN_C_6_6,0.0
K1:VIS-ETMX_KALMAN_B_1_1,0.0
