Date Time,sec,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
2018/11/1 15:40:20,1541054420,-2.484e-01,9.322e-02,7.307e-03,1.567e+00,5.737e+00,-1.387e-03,1.907e+00,4.281e-01,1.047e-04,2.120e-04,-2.277e-03,9.030e-05,4.819e-03,-2.595e+00
2018/11/1 15:50:20,1541055020,-2.594e-01,9.297e-02,7.270e-03,1.567e+00,5.737e+00,-2.693e-04,1.906e+00,4.273e-01,9.519e-05,2.118e-04,-3.037e-03,8.871e-06,-2.835e-03,-2.595e+00
2018/11/1 16:00:20,1541055620,-2.898e-01,9.295e-02,7.275e-03,1.567e+00,5.736e+00,-8.607e-04,1.906e+00,4.270e-01,9.149e-05,2.132e-04,-2.390e-03,7.282e-05,3.808e-03,-2.594e+00
2018/11/1 16:10:20,1541056220,-3.043e-01,9.285e-02,7.275e-03,1.567e+00,5.736e+00,-1.227e-03,1.907e+00,4.273e-01,8.394e-05,2.114e-04,-3.109e-03,3.601e-05,3.244e-03,-2.593e+00
2018/11/1 16:20:20,1541056820,-3.114e-01,9.353e-02,7.235e-03,1.568e+00,5.735e+00,-1.753e-03,1.906e+00,4.288e-01,7.136e-05,2.125e-04,-3.218e-03,3.442e-06,-2.976e-03,-2.592e+00
2018/11/1 16:30:20,1541057420,-3.099e-01,9.358e-02,7.238e-03,1.567e+00,5.734e+00,-5.484e-04,1.908e+00,4.280e-01,8.791e-05,2.141e-04,-2.745e-03,4.727e-05,1.301e-03,-2.590e+00
2018/11/1 16:40:20,1541058020,-3.061e-01,9.330e-02,7.224e-03,1.568e+00,5.734e+00,-1.009e-03,1.907e+00,4.277e-01,8.871e-05,2.120e-04,-3.216e-03,4.488e-05,4.322e-03,-2.590e+00
2018/11/1 16:50:20,1541058620,-3.039e-01,9.328e-02,7.238e-03,1.568e+00,5.735e+00,-1.346e-03,1.908e+00,4.277e-01,1.018e-04,2.199e-04,-2.380e-03,9.612e-05,8.601e-03,-2.589e+00
2018/11/1 17:00:20,1541059220,-3.003e-01,9.306e-02,7.234e-03,1.570e+00,5.733e+00,-1.811e-04,1.906e+00,4.270e-01,8.235e-05,2.132e-04,-2.824e-03,6.607e-05,9.911e-03,-2.588e+00
2018/11/1 17:10:20,1541059820,-2.915e-01,9.325e-02,7.244e-03,1.569e+00,5.733e+00,1.823e-04,1.906e+00,4.272e-01,8.990e-05,2.118e-04,-2.412e-03,7.189e-05,1.069e-02,-2.587e+00
2018/11/1 17:20:20,1541060420,-2.780e-01,9.344e-02,7.209e-03,1.569e+00,5.732e+00,-1.698e-03,1.908e+00,4.272e-01,1.070e-04,2.141e-04,-3.032e-03,2.330e-05,-1.603e-04,-2.586e+00
2018/11/1 17:30:20,1541061020,-2.793e-01,9.353e-02,7.226e-03,1.570e+00,5.732e+00,-1.050e-03,1.907e+00,4.272e-01,1.099e-04,2.146e-04,-2.536e-03,5.746e-05,-8.632e-05,-2.585e+00
2018/11/1 17:40:20,1541061620,-2.714e-01,9.327e-02,7.231e-03,1.569e+00,5.732e+00,4.455e-04,1.906e+00,4.269e-01,9.003e-05,2.130e-04,-2.170e-03,7.282e-05,4.456e-03,-2.585e+00
2018/11/1 17:50:20,1541062220,-2.650e-01,9.297e-02,7.195e-03,1.569e+00,5.732e+00,-9.992e-04,1.906e+00,4.261e-01,8.195e-05,2.125e-04,-3.216e-03,-9.930e-06,-1.949e-03,-2.585e+00
2018/11/1 18:00:20,1541062820,-2.523e-01,9.204e-02,7.160e-03,1.569e+00,5.731e+00,-1.445e-03,1.907e+00,4.234e-01,8.143e-05,2.141e-04,-3.425e-03,-1.761e-05,-1.340e-03,-2.584e+00
2018/11/1 18:10:20,1541063420,-2.481e-01,9.115e-02,7.165e-03,1.570e+00,5.732e+00,-4.386e-04,1.907e+00,4.206e-01,1.068e-04,2.148e-04,-2.642e-03,3.045e-05,8.004e-04,-2.583e+00
2018/11/1 18:20:20,1541064020,-2.477e-01,9.094e-02,7.180e-03,1.569e+00,5.731e+00,-1.280e-03,1.908e+00,4.199e-01,8.897e-05,2.118e-04,-2.499e-03,9.493e-05,4.445e-03,-2.583e+00
2018/11/1 18:30:20,1541064620,-2.436e-01,9.070e-02,7.194e-03,1.570e+00,5.731e+00,-1.334e-03,1.907e+00,4.191e-01,1.010e-04,2.129e-04,-2.276e-03,9.268e-05,8.351e-03,-2.583e+00
2018/11/1 18:40:20,1541065220,-2.399e-01,9.066e-02,7.187e-03,1.570e+00,5.731e+00,-6.987e-04,1.906e+00,4.189e-01,1.016e-04,2.121e-04,-3.126e-03,2.211e-05,-1.488e-03,-2.581e+00
2018/11/1 18:50:20,1541065820,-2.427e-01,9.066e-02,7.204e-03,1.569e+00,5.730e+00,-1.177e-03,1.906e+00,4.189e-01,1.128e-04,2.137e-04,-2.328e-03,8.857e-05,4.720e-03,-2.581e+00
